Week 1 (6th - 12th July),,,,,,,,,
Day,Split,Excercise,target,Set 1 (8-12),Set 2 (8-12),Set 3 (8-12),Set 4,Wt (prev),Wt
Monday,Push,shoulder warmup,,,,,,,
,,Barbell Bench Press,4 sets × 5–8 reps,8,8,8,,15+15,12.5+12.5
,,,,,,,,,
,,dips,3 sets × 6–10 reps,10,10,9,,5,0
,,tricep overhead extn (db),3 sets × 8–12 reps,12,12,12,,5,5
,,barbell overhead press,3 sets × 6–10 reps,10,10,10,,7.5+7.5,5+5 medium barbell
,,peck deck,3 sets × 10–15 reps,,,,,,
,,forearm,2–3 sets,,,,,,
Tuesday,Pull,shoulder warmup,,,,,,,
,,pullups,3 sets x 6-8 reps,5,4,3,,,
,,Lat pulldown,2 set × 8–12 reps,12,11,,,30,35
,,Seated rows,3 sets × 6–10 reps,,,,,,
,,hammer curl,3 sets × 8–12,12,12,12,,7.5,7.5
,,facepulls,3 sets × 12–15,,,,,,
,,barbell Curls (ezbar),3 sets × 10–15,,,,,2.5+2.5,
,,machine Lateral Raise,3 sets × 15–20,19,18,18,,5+5,5+5
Wednesday,Legs,dumbbel rdl,3 × 8–12,12,12,12,,15+15,15+15
,,Hack Squat,3 × 6–10,10,9,8,,7.5+7.5,7.5+7.5
,,Leg press,3 × 8–12,,,,,,
,,dragon flags (abs),ab crunches,15,15,15,,"7.5kg, 2nd groove","7.5kg, 2nd grrove"
,,Calf Raises,3 × 10–15,,,,,,
,,db lateral raise + front raise (superset),2 × 12–20 lateral + same reps front,,,,,,
,,forearm,2–3 sets,,,,,,
Thursday,Push,shoulder warmup,,,,,,,
,,Incline Machine Press,4 × 6–10,,,,,12.5+12.5,
,,"Cable Flies (lower, middle, uppper)",1 set + 1 set + 1 set x 10–15 reps,,,,,10+10,
,,cable Lateral Raise,3 × 12–20,,,,,,
,,Peck deck,3 × 10–15,,,,,,
,,Tricep pushdown,3 × 10–15,,,,,,
,,forearm,,,,,,,
Friday,Pull,shoulder warmup,,,,,,,
,,pullups (descending part reps),3 sets x 6-8 reps,,,,,,
,,kneeling Lat pulldown,2 × 8–12,,,,,,
,,hammer curl (touch),3 × 8–12,,,,,7.5,
,,Chest supported row,4 × 6–10,,,,,,
,,Incline bench bicep Curls,2 × 8–12,,,,,,
,,Barbell shrugs (wide grip),3 × 8–12,,,,,,
,,Hyperextension,2 sets x 10-15,,,,,,
,,rear delt crossover/flies,3 × 12–20,,,,,,
Saturday,Legs,barbell rdl,2 × 8–12,12,12,12,,15+15,"5+5, large barbell"
,,Barbell Squat,4 × 5–8,8,8,8,8,15+15,"12.5+12.5, large barbell"
,,Leg extension,3 × 10–15,,,,,,
,,dragon flags (abs),yoga mat ab crunches,15,14,10,,"7.5kg, second groove",0
,,Calf Raises,4 × 10–15,,,,,,
,,db lateral raise + front raise (superset),3 × 12–20 lateral + same reps front,20,20,20,,,5+5
,,forearm,2–3 sets,,,,,,
Sunday,Rest,-,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Week 2 (13th - 19th July),,,,,,,,,
Day,Split,Excercise,target,Set 1 (8-12),Set 2 (8-12),Set 3 (8-12),Set 4,Wt (prev),Wt
Monday,Push,shoulder warmup,,,,,,,
,,Barbell Bench Press,4 sets × 5–8 reps,6,6,6,,12.5+12.5,15+15
,,,,,,,,,
,,dips,3 sets × 6–10 reps,10,10,10,,0,0
,,tricep overhead extn (db),3 sets × 8–12 reps,,,,,5,
,,barbell overhead press,3 sets × 6–10 reps,,,,,5+5 medium barbell,
,,peck deck,3 sets × 10–15 reps,,,,,,
,,forearm,2–3 sets,,,,,,
Tuesday,Pull,shoulder warmup,,,,,,,
,,pullups,"3 sets x 6-8 reps (neutral, supinated, jumping pronated)",5,3,8,,,
,,Lat pulldown,2 set × 8–12 reps,,,,,35,
,,Seated rows,3 sets × 6–10 reps,,,,,,
,,hammer curl,3 sets × 8–12,12,12,12,,7.5,10
,,facepulls,3 sets × 12–15,,,,,,
,,barbell Curls (ezbar),3 sets × 10–15,15,15,10,,2.5+2.5,25
,,machine Lateral Raise,3 sets × 15–20,,,,,5+5,
Wednesday,Legs,barbell rdl,3 × 8–12,12,12,12,,15+15,7.5+7.5
,,Hack Squat,3 × 6–10,10,10,10,,7.5+7.5,7.5+7.5
,,Leg press,3 × 8–12,,,,,,
,,dragon flags (abs),yoga mat ab crunches,15,15,15,,"7.5kg, 2nd grrove",0
,,Calf Raises,3 × 10–15,,,,,,
,,db lateral raise + front raise (superset),2 × 12–20 lateral + same reps front,18,20,,,,5+5
,,forearm,2–3 sets,,,,,,
Thursday,Push,shoulder warmup,,,,,,,
,,Incline Machine Press,4 × 6–10,,,,,12.5+12.5,
,,"Cable Flies (lower, middle, uppper)",1 set + 1 set + 1 set x 10–15 reps,,,,,10+10,
,,cable Lateral Raise,3 × 12–20,,,,,,
,,Peck deck,3 × 10–15,,,,,,
,,Tricep pushdown,3 × 10–15,,,,,,
,,forearm,,,,,,,
Friday,Pull,shoulder warmup,,,,,,,
,,pullups (descending part reps),3 sets x 6-8 reps,,,,,,
,,kneeling Lat pulldown,2 × 8–12,,,,,,
,,hammer curl (touch),3 × 8–12,,,,,7.5,
,,Chest supported row,4 × 6–10,,,,,,
,,Incline bench bicep Curls,2 × 8–12,,,,,,
,,Barbell shrugs (wide grip),3 × 8–12,,,,,,
,,Hyperextension,2 sets x 10-15,,,,,,
,,rear delt crossover/flies,3 × 12–20,,,,,,
Saturday,Legs,barbell rdl,2 × 8–12,,,,,"5+5, large barbell",
,,Barbell Squat,4 × 5–8,,,,,"12.5+12.5, large barbell",
,,Leg extension,3 × 10–15,,,,,,
,,dragon flags (abs),yoga mat ab crunches,,,,,0,
,,Calf Raises,4 × 10–15,,,,,,
,,db lateral raise + front raise (superset),3 × 12–20 lateral + same reps front,,,,,5+5,
,,forearm,2–3 sets,,,,,,
Sunday,Rest,-,,,,,,,
